date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:40:38	31433/31433	---M-Z	200	added ('OK')	application/javascript	etag:%227ac9-5bddadd2-b1c0ec3475663f50;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:38	45500/45500	---M-Z	200	added ('OK')	application/javascript	etag:%22b1bc-5bddc33c-ea666f3557b437f5;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:38	2802/2802	---M-Z	200	added ('OK')	text/css	etag:%22af2-5c40dd00-649b36713292a9d5;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:39	1840/1840	---M-Z	200	added ('OK')	application/javascript	etag:%22730-5c0290ba-e3c0796fc48ab30f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:39	89666/89666	---M-Z	200	added ('OK')	application/javascript	etag:%2215e42-5bddadd2-736a5fc16d1f8ed6;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/isotope.pkgd.js	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/isotope.pkgd.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:39	407/407	---M-Z	200	added ('OK')	application/javascript	etag:%22197-5c0290ba-d1cbd5f679868ea5;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:45	50585/50585	---M--	200	added ('OK')	image/png	etag:%22c599-5c5053f6-deb2e6a98bb178fc;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h1w.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h1w.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:48	51788/51788	---M--	200	added ('OK')	image/png	etag:%22ca4c-5c5053f6-95ea5440d244e25b;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h1.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:53	49278/49278	---M--	200	added ('OK')	image/png	etag:%22c07e-5c5053f6-4acb38ffb08dfa28;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h3w.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h3w.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:54	87733/87733	---M--	200	added ('OK')	image/png	etag:%22156b5-5c5053f6-ab5ee2a015030519;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h2w.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h2w.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:55	7524/7524	---M-Z	200	added ('OK')	text/css	etag:%221d64-5e176ce8-4b289ba2a867047;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/mh-slider.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/mh-slider.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-slider.html)
04:40:56	50482/50482	---M--	200	added ('OK')	image/png	etag:%22c532-5c5053f6-d6a62edaee9aaf9e;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h3.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h3.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:40:57	104012/104012	---M--	200	added ('OK')	image/png	etag:%221964c-5c5053f6-85e04ae7834f7481;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h2.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/h2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one.html)
04:41:00	43118/43118	---M--	200	added ('OK')	image/png	etag:%22a86e-5c50536e-b6cd04fff4b09ef9;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/p-2.png	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/p-2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
04:41:00	17264/17264	---M-Z	200	added ('OK')	text/html	etag:%224370-5e1c668a-56ec1b3d2a112ff;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/index.html	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/index-2.html	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-video.html)
